iter	Passed	Remaining
0	4	4754
1	9	4675
2	13	4433
3	17	4350
4	22	4389
5	26	4346
6	31	4508
7	36	4524
8	41	4518
9	45	4469
10	49	4471
11	53	4426
12	58	4412
13	62	4375
14	66	4345
15	70	4343
16	75	4371
17	80	4396
18	84	4370
19	89	4389
20	93	4366
21	98	4375
22	102	4351
23	106	4349
24	111	4329
25	115	4317
26	119	4295
27	123	4277
28	127	4279
29	131	4260
30	137	4290
31	141	4275
32	145	4276
33	150	4262
34	154	4256
35	158	4243
36	162	4233
37	167	4229
38	171	4216
39	175	4223
40	182	4257
41	186	4265
42	192	4291
43	198	4304
44	203	4317
45	208	4333
46	214	4344
47	220	4370
48	225	4374
49	231	4391
50	235	4376
51	239	4372
52	244	4367
53	249	4363
54	253	4348
55	257	4340
56	261	4328
57	266	4321
58	270	4309
59	274	4299
60	278	4291
61	282	4277
62	287	4274
63	291	4261
64	295	4253
65	299	4241
66	304	4234
67	308	4223
68	312	4212
69	316	4207
70	320	4196
71	325	4200
72	329	4190
73	334	4187
74	338	4176
75	343	4170
76	347	4159
77	351	4150
78	355	4146
79	359	4136
80	364	4138
81	369	4139
82	374	4136
83	378	4128
84	383	4127
85	388	4131
86	393	4126
87	397	4118
88	402	4119
89	406	4110
90	410	4103
91	414	4094
92	419	4088
93	423	4080
94	427	4072
95	432	4069
96	436	4065
97	441	4066
98	447	4069
99	451	4067
100	456	4059
101	460	4057
102	464	4048
103	469	4044
104	473	4039
105	479	4041
106	483	4033
107	487	4030
108	492	4022
109	496	4014
110	500	4009
111	505	4007
112	510	4006
113	515	4005
114	520	4003
115	524	4000
116	529	3998
117	534	3994
118	539	3993
119	544	3992
120	548	3986
121	552	3978
122	557	3974
123	561	3967
124	566	3968
125	571	3960
126	575	3957
127	579	3949
128	584	3944
129	588	3936
130	593	3939
131	597	3931
132	602	3925
133	606	3917
134	610	3909
135	614	3904
136	619	3899
137	623	3894
138	627	3887
139	632	3882
140	636	3876
141	640	3869
142	644	3861
143	648	3854
144	652	3850
145	656	3842
146	661	3837
147	667	3843
148	673	3848
149	679	3853
150	684	3848
151	688	3842
152	693	3840
153	697	3832
154	702	3828
155	706	3822
156	711	3818
157	714	3807
158	718	3801
159	722	3792
160	726	3785
161	731	3781
162	734	3770
163	738	3765
164	742	3758
165	746	3752
166	750	3743
167	754	3737
168	760	3740
169	766	3740
170	770	3734
171	776	3738
172	781	3734
173	785	3729
174	791	3731
175	796	3730
176	800	3723
177	808	3731
178	813	3729
179	817	3725
180	823	3727
181	828	3725
182	833	3719
183	840	3727
184	846	3728
185	850	3722
186	856	3724
187	861	3721
188	866	3716
189	872	3718
190	877	3716
191	881	3711
192	887	3711
193	893	3710
194	897	3703
195	904	3708
196	909	3705
197	913	3700
198	919	3702
199	924	3696
200	928	3689
201	934	3692
202	940	3690
203	944	3684
204	949	3683
205	953	3676
206	957	3667
207	961	3659
208	965	3654
209	969	3647
210	972	3637
211	976	3631
212	981	3626
213	985	3619
214	989	3614
215	994	3610
216	999	3605
217	1003	3598
218	1007	3594
219	1011	3587
220	1016	3582
221	1020	3575
222	1024	3568
223	1028	3561
224	1031	3552
225	1035	3545
226	1040	3543
227	1046	3541
228	1049	3534
229	1053	3528
230	1058	3523
231	1063	3518
232	1067	3513
233	1074	3518
234	1080	3515
235	1085	3514
236	1095	3526
237	1101	3526
238	1107	3525
239	1112	3523
240	1118	3523
241	1124	3521
242	1129	3519
243	1135	3517
244	1141	3517
245	1145	3510
246	1149	3505
247	1154	3502
248	1159	3497
249	1164	3494
250	1171	3496
251	1175	3490
252	1180	3484
253	1185	3482
254	1190	3478
255	1194	3472
256	1200	3470
257	1205	3467
258	1210	3463
259	1216	3461
260	1222	3460
261	1226	3453
262	1231	3452
263	1237	3449
264	1241	3443
265	1245	3436
266	1252	3439
267	1257	3434
268	1262	3430
269	1268	3428
270	1272	3421
271	1276	3416
272	1282	3414
273	1287	3411
274	1292	3406
275	1298	3405
276	1302	3398
277	1306	3394
278	1311	3389
279	1315	3383
280	1319	3375
281	1322	3367
282	1327	3362
283	1330	3355
284	1334	3348
285	1338	3341
286	1342	3334
287	1346	3328
288	1350	3323
289	1355	3319
290	1360	3313
291	1364	3307
292	1368	3301
293	1371	3294
294	1377	3292
295	1382	3288
296	1386	3281
297	1391	3277
298	1394	3269
299	1398	3262
300	1402	3257
301	1407	3252
302	1411	3246
303	1415	3239
304	1419	3234
305	1423	3228
306	1427	3221
307	1431	3216
308	1435	3210
309	1441	3207
310	1445	3202
311	1450	3198
312	1455	3194
313	1460	3191
314	1465	3186
315	1469	3181
316	1473	3175
317	1478	3169
318	1482	3165
319	1488	3163
320	1493	3158
321	1498	3154
322	1503	3151
323	1508	3146
324	1512	3141
325	1517	3137
326	1522	3132
327	1527	3128
328	1531	3123
329	1536	3119
330	1539	3112
331	1543	3106
332	1548	3100
333	1552	3095
334	1557	3091
335	1561	3085
336	1566	3082
337	1570	3076
338	1575	3072
339	1579	3065
340	1585	3063
341	1589	3058
342	1593	3052
343	1599	3049
344	1604	3046
345	1608	3039
346	1612	3035
347	1617	3030
348	1623	3028
349	1627	3023
350	1633	3020
351	1636	3013
352	1640	3007
353	1644	3001
354	1648	2995
355	1652	2989
356	1655	2982
357	1659	2976
358	1663	2970
359	1666	2963
360	1671	2957
361	1674	2952
362	1679	2947
363	1683	2941
364	1686	2934
365	1691	2929
366	1695	2924
367	1699	2919
368	1703	2912
369	1706	2906
370	1711	2901
371	1714	2895
372	1719	2889
373	1722	2883
374	1728	2880
375	1732	2875
376	1736	2870
377	1740	2864
378	1744	2858
379	1750	2855
380	1754	2850
381	1759	2847
382	1763	2841
383	1768	2836
384	1771	2830
385	1776	2825
386	1779	2819
387	1783	2813
388	1787	2807
389	1791	2801
390	1795	2796
391	1799	2790
392	1802	2784
393	1807	2779
394	1810	2773
395	1816	2770
396	1820	2765
397	1826	2761
398	1830	2756
399	1835	2753
400	1840	2749
401	1845	2744
402	1848	2738
403	1853	2734
404	1856	2728
405	1860	2722
406	1864	2717
407	1869	2712
408	1874	2708
409	1878	2702
410	1882	2697
411	1886	2692
412	1890	2686
413	1893	2680
414	1897	2674
415	1902	2671
416	1906	2665
417	1911	2660
418	1915	2655
419	1920	2652
420	1923	2645
421	1927	2640
422	1932	2635
423	1936	2631
424	1940	2625
425	1945	2620
426	1949	2615
427	1952	2610
428	1957	2604
429	1960	2598
430	1964	2593
431	1968	2588
432	1972	2583
433	1977	2578
434	1981	2573
435	1984	2567
436	1989	2562
437	1992	2556
438	1997	2552
439	2000	2546
440	2004	2541
441	2008	2535
442	2012	2529
443	2016	2525
444	2020	2520
445	2024	2514
446	2028	2509
447	2032	2504
448	2037	2500
449	2042	2495
450	2047	2491
451	2051	2487
452	2058	2485
453	2063	2481
454	2066	2475
455	2070	2469
456	2074	2464
457	2079	2460
458	2083	2455
459	2086	2449
460	2090	2443
461	2094	2439
462	2098	2433
463	2102	2428
464	2106	2423
465	2110	2418
466	2114	2413
467	2118	2408
468	2122	2403
469	2128	2399
470	2131	2394
471	2135	2388
472	2139	2384
473	2143	2378
474	2146	2372
475	2150	2367
476	2154	2362
477	2158	2357
478	2162	2351
479	2165	2346
480	2169	2341
481	2173	2336
482	2177	2331
483	2181	2325
484	2185	2321
485	2189	2315
486	2193	2310
487	2197	2305
488	2201	2300
489	2205	2295
490	2209	2290
491	2213	2285
492	2217	2280
493	2221	2275
494	2226	2271
495	2231	2267
496	2235	2262
497	2239	2257
498	2244	2253
499	2247	2247
500	2251	2242
501	2255	2237
502	2259	2232
503	2263	2227
504	2267	2222
505	2271	2217
506	2275	2212
507	2278	2207
508	2283	2202
509	2287	2197
510	2291	2192
511	2295	2187
512	2298	2182
513	2302	2177
514	2306	2171
515	2310	2166
516	2313	2161
517	2318	2156
518	2322	2152
519	2326	2147
520	2330	2142
521	2334	2137
522	2337	2132
523	2342	2127
524	2345	2122
525	2350	2118
526	2355	2114
527	2360	2110
528	2364	2104
529	2367	2099
530	2371	2094
531	2374	2089
532	2378	2084
533	2382	2079
534	2386	2074
535	2390	2069
536	2393	2063
537	2398	2059
538	2402	2055
539	2407	2050
540	2410	2045
541	2414	2040
542	2418	2035
543	2422	2030
544	2426	2025
545	2429	2020
546	2433	2015
547	2437	2010
548	2440	2005
549	2444	2000
550	2448	1995
551	2452	1990
552	2458	1987
553	2462	1982
554	2468	1979
555	2472	1974
556	2476	1969
557	2480	1964
558	2484	1960
559	2488	1955
560	2492	1950
561	2496	1945
562	2500	1940
563	2505	1937
564	2510	1933
565	2515	1929
566	2520	1924
567	2525	1920
568	2529	1915
569	2534	1911
570	2538	1907
571	2543	1903
572	2547	1898
573	2551	1893
574	2554	1888
575	2558	1883
576	2562	1878
577	2567	1874
578	2571	1869
579	2574	1864
580	2578	1859
581	2582	1854
582	2585	1849
583	2589	1844
584	2593	1839
585	2596	1834
586	2600	1829
587	2603	1824
588	2608	1819
589	2611	1814
590	2615	1809
591	2619	1805
592	2623	1800
593	2627	1796
594	2631	1791
595	2634	1785
596	2638	1781
597	2642	1776
598	2646	1771
599	2649	1766
600	2653	1761
601	2657	1756
602	2661	1752
603	2665	1747
604	2669	1742
605	2673	1737
606	2676	1733
607	2680	1728
608	2684	1723
609	2688	1718
610	2691	1713
611	2696	1709
612	2700	1704
613	2704	1700
614	2707	1695
615	2712	1690
616	2716	1686
617	2719	1681
618	2723	1676
619	2727	1671
620	2730	1666
621	2734	1661
622	2737	1656
623	2742	1652
624	2745	1647
625	2749	1642
626	2753	1637
627	2756	1632
628	2760	1628
629	2764	1623
630	2767	1618
631	2771	1613
632	2775	1609
633	2780	1605
634	2784	1600
635	2788	1595
636	2791	1590
637	2796	1586
638	2800	1582
639	2804	1577
640	2808	1572
641	2811	1568
642	2815	1563
643	2820	1559
644	2824	1554
645	2829	1550
646	2833	1545
647	2837	1541
648	2842	1537
649	2846	1532
650	2849	1527
651	2853	1523
652	2858	1518
653	2863	1514
654	2867	1510
655	2870	1505
656	2876	1501
657	2881	1497
658	2886	1493
659	2892	1489
660	2896	1485
661	2899	1480
662	2903	1475
663	2907	1471
664	2910	1466
665	2914	1461
666	2918	1456
667	2922	1452
668	2926	1447
669	2929	1443
670	2934	1438
671	2937	1433
672	2941	1429
673	2944	1424
674	2948	1419
675	2952	1415
676	2956	1410
677	2960	1406
678	2965	1401
679	2968	1396
680	2972	1392
681	2976	1387
682	2980	1383
683	2983	1378
684	2987	1373
685	2991	1369
686	2994	1364
687	2998	1359
688	3002	1355
689	3006	1350
690	3010	1346
691	3013	1341
692	3017	1336
693	3021	1332
694	3024	1327
695	3028	1322
696	3032	1318
697	3036	1313
698	3039	1309
699	3043	1304
700	3047	1299
701	3050	1295
702	3054	1290
703	3058	1285
704	3061	1281
705	3065	1276
706	3069	1271
707	3072	1267
708	3077	1262
709	3080	1258
710	3084	1253
711	3088	1249
712	3092	1244
713	3096	1240
714	3100	1235
715	3104	1231
716	3108	1226
717	3111	1222
718	3116	1217
719	3120	1213
720	3124	1209
721	3127	1204
722	3132	1199
723	3135	1195
724	3139	1190
725	3143	1186
726	3146	1181
727	3151	1177
728	3155	1173
729	3158	1168
730	3163	1164
731	3167	1159
732	3170	1155
733	3174	1150
734	3178	1145
735	3182	1141
736	3185	1136
737	3189	1132
738	3193	1128
739	3197	1123
740	3202	1119
741	3206	1114
742	3211	1110
743	3214	1106
744	3218	1101
745	3222	1097
746	3226	1092
747	3230	1088
748	3233	1083
749	3237	1079
750	3241	1074
751	3245	1070
752	3249	1065
753	3255	1062
754	3260	1058
755	3265	1053
756	3270	1049
757	3275	1045
758	3279	1041
759	3282	1036
760	3286	1032
761	3290	1027
762	3293	1023
763	3298	1018
764	3301	1014
765	3306	1010
766	3309	1005
767	3313	1000
768	3317	996
769	3322	992
770	3326	988
771	3331	983
772	3336	979
773	3340	975
774	3344	971
775	3348	966
776	3353	962
777	3357	958
778	3362	953
779	3366	949
780	3370	945
781	3374	940
782	3377	936
783	3381	931
784	3385	927
785	3388	922
786	3392	918
787	3396	913
788	3399	909
789	3404	904
790	3408	900
791	3412	896
792	3415	891
793	3419	887
794	3423	882
795	3427	878
796	3431	873
797	3434	869
798	3438	864
799	3442	860
800	3445	856
801	3449	851
802	3453	847
803	3456	842
804	3460	838
805	3464	833
806	3468	829
807	3472	825
808	3475	820
809	3479	816
810	3482	811
811	3486	807
